NombrePlan,ModalidadAtencion,TipoPlan,AmplitudCobertura,PrestacionesRestringidas,Comercializacion,ValorPlan,Copago,Modalidad,GrupoSocioeconomico,GrupoObjetivo,RegionComercializacion,FechaInicioPlan,FechaInfo,CodigoPlan,CodigoIsapre,LineaPlan,Ajusteanual,ModalidadTope,Topeanual,Cobertura parto,Cobertura honorarios,Cobertura copago,ValorCLP,%Cotizacion,Sobre7,ano_mes_inicio,tipo_valor
ALPHA A-BEA100,PRESTADOR PREFERENTE,GRUPAL,COBERTURA GENERAL PARA PARTO U HONORARIOS MÉDICOS,2345,En Comercialización,2.58,NO TIENE COPAGO FIJO,UF,SIN GRUPO,TRABAJADORES DE UNA MISMA EMPRESA,Nacional,2020-04-01,2020-07-01,A-BEA100,76,ALEMANA,0.0,UF,2250.0,True,True,False,95460.0,0.09546,True,2020-04,caro
ALPHA A-BEA150,PRESTADOR PREFERENTE,GRUPAL,COBERTURA GENERAL PARA PARTO U HONORARIOS MÉDICOS,2345,En Comercialización,3.51,NO TIENE COPAGO FIJO,UF,SIN GRUPO,TRABAJADORES DE UNA MISMA EMPRESA,Nacional,2020-04-01,2020-07-01,A-BEA150,76,ALEMANA,0.0,UF,3600.0,True,True,False,129869.99999999999,0.12986999999999999,True,2020-04,caro
OMEGA A-BEF100,PRESTADOR PREFERENTE,GRUPAL,COBERTURA GENERAL PARA PARTO U HONORARIOS MÉDICOS,2345,En Comercialización,3.52,NO TIENE COPAGO FIJO,UF,SIN GRUPO,OTRO GRUPO OBJETIVO NO ESPECIFICADO,Nacional,2020-04-01,2020-07-01,A-BEF100,76,ALEMANA,0.0,UF,2500.0,True,True,False,130240.0,0.13024,True,2020-04,caro
OMEGA A-BEF150,PRESTADOR PREFERENTE,GRUPAL,COBERTURA GENERAL PARA PARTO U HONORARIOS MÉDICOS,2345,En Comercialización,4.61,NO TIENE COPAGO FIJO,UF,SIN GRUPO,OTRO GRUPO OBJETIVO NO ESPECIFICADO,Nacional,2020-04-01,2020-07-01,A-BEF150,76,ALEMANA,0.0,UF,4000.0,True,True,False,170570.0,0.17057,True,2020-04,caro
ALPHA A-BER100,PRESTADOR PREFERENTE,GRUPAL,COBERTURA GENERAL PARA PARTO U HONORARIOS MÉDICOS,2345,En Comercialización,3.41,NO TIENE COPAGO FIJO,UF,SIN GRUPO,OTRO GRUPO OBJETIVO NO ESPECIFICADO,Nacional,2020-04-01,2020-07-01,A-BER100,76,ALEMANA,0.0,UF,2250.0,True,True,False,126170.0,0.12617,True,2020-04,caro
ALPHA A-BER150,PRESTADOR PREFERENTE,GRUPAL,COBERTURA GENERAL PARA PARTO U HONORARIOS MÉDICOS,2345,En Comercialización,4.14,NO TIENE COPAGO FIJO,UF,SIN GRUPO,OTRO GRUPO OBJETIVO NO ESPECIFICADO,Nacional,2020-04-01,2020-07-01,A-BER150,76,ALEMANA,0.0,UF,3600.0,True,True,False,153180.0,0.15318,True,2020-04,caro
ALPHA_BEA100,PRESTADOR PREFERENTE,GRUPAL,COBERTURA GENERAL PARA PARTO U HONORARIOS MÉDICOS,2345,No Comercializado,2.03,NO TIENE COPAGO FIJO,UF,SIN GRUPO,TRABAJADORES DE UNA MISMA EMPRESA,Nacional,2016-05-01,2020-07-01,BEA100,76,ALEMANA,0.0,UF,2250.0,True,True,False,75110.0,0.07511,True,2016-05,económico
ALPHA_BEA101,PRESTADOR PREFERENTE,GRUPAL,COBERTURA GENERAL PARA PARTO U HONORARIOS MÉDICOS,2345,No Comercializado,2.1,NO TIENE COPAGO FIJO,UF,SIN GRUPO,TRABAJADORES DE UNA MISMA EMPRESA,Nacional,2016-05-01,2020-07-01,BEA101,76,ALEMANA,0.0,UF,2390.0,True,True,False,77700.0,0.0777,True,2016-05,económico
ALPHA_BEA102,PRESTADOR PREFERENTE,GRUPAL,COBERTURA GENERAL PARA PARTO U HONORARIOS MÉDICOS,2345,No Comercializado,2.2,NO TIENE COPAGO FIJO,UF,SIN GRUPO,TRABAJADORES DE UNA MISMA EMPRESA,Nacional,2016-05-01,2020-07-01,BEA102,76,ALEMANA,0.0,UF,2520.0,True,True,False,81400.0,0.0814,True,2016-05,económico
ALPHA_BEA103,PRESTADOR PREFERENTE,GRUPAL,COBERTURA GENERAL PARA PARTO U HONORARIOS MÉDICOS,2345,No Comercializado,2.31,NO TIENE COPAGO FIJO,UF,SIN GRUPO,TRABAJADORES DE UNA MISMA EMPRESA,Nacional,2016-05-01,2020-07-01,BEA103,76,ALEMANA,0.0,UF,2660.0,True,True,False,85470.0,0.08547,True,2016-05,económico
